product_id,price,category,status,amount,region,priority,user_id,old_name,base_price,order_date
P1042,92.97,Toys,Refunded,278.91,West,Medium,U77000,Paula Brown,92.97,2025-11-03
P1043,52.51,Groceries,Cancelled,262.55,North,High,U39444,Grace Brown,52.51,2025-01-02
P1044,196.95,Clothing,Completed,984.75,West,Medium,U85454,Grace Lewis,196.95,2025-08-13
P1045,38.04,Clothing,Completed,38.04,West,High,U77889,Oscar Smith,38.04,2025-09-08
P1046,69.47,Sports,Refunded,138.94,East,Medium,U76162,Nina Young,69.47,2025-08-06
P1047,52.38,Books,Cancelled,209.52,South,Low,U78327,Paula Taylor,52.38,2025-05-15
P1048,1441.41,Electronics,Cancelled,2882.82,East,Medium,U20561,Eva Brown,1441.41,2025-04-13
P1049,13.4,Books,Completed,26.8,West,Medium,U71069,Nina Smith,13.4,2025-04-27
P1050,1229.48,Furniture,Completed,6147.4,West,Medium,,Laura Anderson,1229.48,2025-07-28
P1051,215.32,Sports,Pending,1076.6,West,High,U73654,Alice Lewis,215.32,2025-06-22
P1052,48.9,Books,Refunded,97.8,South,Low,U61645,Steve King,48.9,2025-11-01
P1053,1303.36,Electronics,Refunded,2606.72,South,High,U52906,Grace Walker,1303.36,2025-06-11
P1054,441.02,Sports,Refunded,1323.06,East,High,U80702,Bob Clark,441.02,2025-04-21
P1055,1573.4,Electronics,Completed,1573.4,South,High,U91439,Eva Taylor,1573.4,2025-03-16
P1056,11.29,Books,Refunded,22.58,East,Medium,U89593,David Brown,11.29,2025-05-04
P1057,8.72,Toys,Refunded,26.16,West,Low,U87607,Hannah Johnson,8.72,2025-12-25
P1058,85.33,Groceries,Completed,426.65,North,Medium,U96706,Laura Johnson,85.33,2025-09-21
P1059,3.24,Groceries,Refunded,12.96,North,Medium,U93307,Oscar Brown,3.24,2025-07-06
P1060,33.7,Books,Refunded,101.1,West,Medium,U87656,Ivan Clark,33.7,2025-04-27
P1061,593.91,Electronics,Pending,2375.64,West,Low,U59674,Kevin Smith,593.91,2025-08-28
P1062,19.82,Groceries,Cancelled,39.64,East,Medium,U88139,Ivan Young,19.82,2025-01-17
P1063,26.27,Clothing,Refunded,105.08,South,Low,U74332,Oscar Smith,26.27,2025-02-10
P1064,86.84,Clothing,Cancelled,173.68,East,Medium,U55056,Nina Young,86.84,2025-06-12
P1065,29.96,Books,Cancelled,89.88,South,High,U51359,David Young,29.96,2025-12-06
P1066,51.11,Clothing,Cancelled,204.44,East,High,U48829,Hannah Clark,51.11,2025-03-10
P1067,1430.64,Electronics,Cancelled,2861.28,North,High,U26551,Paula Johnson,1430.64,2025-01-19
P1068,48.0,Groceries,Cancelled,192.0,South,High,U72616,David Johnson,48.0,2025-07-16
P1069,1175.19,Electronics,Pending,1175.19,South,Low,U21164,Hannah Johnson,1175.19,2025-09-25
P1070,1858.32,Furniture,Pending,9291.6,West,Medium,U48974,Steve Lewis,1858.32,2025-05-19
P1071,13.73,Toys,Pending,13.73,South,Medium,U30585,Hannah Brown,13.73,2025-09-03
P1072,10.51,Clothing,Refunded,42.04,East,High,U47056,Oscar Johnson,10.51,2025-11-08
P1073,79.21,Groceries,Pending,396.05,West,High,U94886,Eva Anderson,79.21,2025-03-03
P1074,373.55,Electronics,Cancelled,1120.65,West,High,U49857,Mike Anderson,373.55,2025-09-18
P1075,1369.5,Furniture,Completed,6847.5,West,Low,U42816,Alice Johnson,1369.5,2025-04-22
P1076,431.65,Sports,Completed,2158.25,East,Low,,Frank Walker,431.65,2025-09-21
P1077,2756.61,Furniture,Refunded,5513.22,West,High,U63523,Kevin Clark,2756.61,2025-11-04
P1078,88.8,Sports,Refunded,355.2,East,Low,U82102,Bob Walker,88.8,2025-02-11
P1079,33.68,Groceries,Completed,134.72,West,Medium,U77952,Laura King,33.68,2025-08-21
P1080,2303.97,Furniture,Cancelled,4607.94,South,Medium,U73532,David Smith,2303.97,2025-11-20
P1081,127.26,Sports,Cancelled,254.52,North,Low,U39451,David Walker,127.26,2025-02-21
P1082,85.45,Sports,Cancelled,256.35,West,Medium,U41946,Oscar Young,85.45,2025-03-13
P1083,185.15,Clothing,Pending,925.75,North,Medium,U64387,Kevin Young,185.15,2025-05-27
P1084,601.54,Electronics,Refunded,1804.62,South,Medium,U55236,Kevin Young,601.54,2025-09-13
P1085,2805.27,Furniture,Pending,5610.54,West,High,U63841,Bob Clark,2805.27,2025-12-16
P1086,55.24,Books,Refunded,220.96,South,Medium,U26547,Quinn King,55.24,2025-06-28
P1087,1754.67,Electronics,Completed,7018.68,West,High,U63736,Eva Johnson,1754.67,2025-08-26
P1088,35.18,Groceries,Completed,140.72,East,Low,U59808,Kevin Walker,35.18,2025-09-02
P1089,14.92,Toys,Pending,44.76,North,Medium,U93066,David Walker,14.92,2025-03-23
P1090,90.54,Groceries,Cancelled,90.54,North,Medium,U66450,Eva Taylor,90.54,2025-09-14
P1091,103.86,Toys,Pending,207.72,South,High,U60140,Tina Taylor,103.86,2025-08-19
P1092,54.12,Clothing,Refunded,162.36,East,Low,,Oscar Anderson,54.12,2025-11-18
P1093,24.03,Clothing,Cancelled,72.09,West,Low,U49599,Grace Lewis,24.03,2025-08-04
P1094,82.46,Clothing,Cancelled,247.38,East,High,U96275,Mike Anderson,82.46,2025-01-19
P1095,346.04,Sports,Refunded,346.04,East,High,U56179,Hannah Taylor,346.04,2025-10-09
P1096,46.56,Books,Completed,93.12,North,Medium,U14373,Steve Clark,46.56,2025-12-05
P1097,1823.77,Electronics,Refunded,5471.31,South,High,U80701,Laura Young,1823.77,2025-09-09
P1098,90.63,Sports,Cancelled,362.52,East,High,U19869,Eva Taylor,90.63,2025-11-24
P1099,58.9,Books,Cancelled,294.5,North,Medium,,Rachel Johnson,58.9,2025-08-12
P1100,46.2,Books,Refunded,138.6,East,High,U71797,Alice King,46.2,2025-09-11
P1101,37.1,Toys,Refunded,37.1,East,Low,U28320,Bob Smith,37.1,2025-05-16
P1102,239.52,Electronics,Pending,1197.6,West,Medium,U80804,Nina King,239.52,2025-12-24
P1103,178.23,Clothing,Refunded,178.23,West,Medium,,Laura Taylor,178.23,2025-08-15
P1104,172.54,Clothing,Cancelled,172.54,East,High,U34878,David Walker,172.54,2025-02-22
P1105,131.92,Clothing,Completed,659.6,North,Medium,U26505,Steve Taylor,131.92,2025-02-27
P1106,281.56,Sports,Pending,1407.8,South,Medium,U88116,Alice Anderson,281.56,2025-03-05
P1107,41.34,Toys,Completed,82.68,North,High,,Hannah King,41.34,2025-06-01
P1108,60.42,Clothing,Refunded,120.84,North,Low,U68756,Laura Young,60.42,2025-10-04
P1109,1561.13,Furniture,Completed,7805.65,East,Medium,U14082,Bob Walker,1561.13,2025-07-14
P1110,10.94,Books,Completed,43.76,North,Medium,U18609,Eva Anderson,10.94,2025-10-21
P1111,84.51,Toys,Refunded,253.53,East,Medium,U66387,David Johnson,84.51,2025-11-21
P1112,280.15,Sports,Refunded,560.3,West,High,U69441,Mike Lewis,280.15,2025-12-04
P1113,43.82,Groceries,Cancelled,131.46,South,Low,U18799,Charlie Johnson,43.82,2025-02-14
P1114,1501.95,Electronics,Pending,4505.85,North,Low,U83620,Kevin Johnson,1501.95,2025-07-12
P1115,336.02,Sports,Completed,1344.08,East,Low,U23579,Steve Young,336.02,2025-04-05
P1116,31.52,Books,Cancelled,31.52,East,High,U85248,Hannah Lewis,31.52,2025-09-25
P1117,314.64,Sports,Completed,1573.2,East,High,U50499,Kevin Clark,314.64,2025-01-06
P1118,80.19,Sports,Completed,320.76,South,Low,U14018,Charlie Young,80.19,2025-04-13
P1119,1415.57,Furniture,Cancelled,2831.14,East,Low,U84395,Tina Johnson,1415.57,2025-01-05
P1120,153.34,Clothing,Completed,153.34,East,Medium,U73656,Tina Walker,153.34,2025-07-09
P1121,153.44,Clothing,Cancelled,153.44,West,High,U98930,Steve Walker,153.44,2025-09-22
P1122,6.45,Groceries,Completed,25.8,North,High,U37686,Eva Anderson,6.45,2025-05-11
P1123,65.07,Electronics,Pending,260.28,South,Medium,U40161,Quinn Young,65.07,2025-11-26
P1124,9.06,Groceries,Refunded,9.06,North,Medium,U51033,Steve Lewis,9.06,2025-10-13
P1125,40.21,Books,Completed,120.63,West,High,U32527,Tina Walker,40.21,2025-12-12
P1126,901.59,Electronics,Pending,901.59,West,Low,U20308,Mike Anderson,901.59,2025-12-11
P1127,73.28,Clothing,Completed,146.56,North,Low,U55793,Laura Brown,73.28,2025-04-04
P1128,58.63,Clothing,Pending,117.26,North,High,U92306,Paula Walker,58.63,2025-10-25
P1129,70.09,Toys,Cancelled,350.45,East,High,U71462,Oscar Anderson,70.09,2025-05-19
P1130,736.29,Electronics,Cancelled,736.29,West,Medium,,Laura Anderson,736.29,2025-02-21
P1131,488.91,Sports,Refunded,488.91,West,Low,U15376,Oscar King,488.91,2025-11-07
P1132,61.29,Groceries,Pending,306.45,North,Medium,U55015,Charlie Young,61.29,2025-11-06
P1133,533.1,Electronics,Refunded,2132.4,South,Medium,U47079,Mike Lewis,533.1,2025-06-22
P1134,12.59,Toys,Completed,37.77,East,High,U60667,Julia Anderson,12.59,2025-12-28
P1135,58.04,Books,Pending,290.2,East,High,U28537,Laura Anderson,58.04,2025-11-23
P1136,26.56,Books,Completed,132.8,East,Low,U53054,Eva Young,26.56,2025-02-21
P1137,28.29,Books,Completed,84.87,East,Medium,U38074,Kevin Walker,28.29,2025-04-08
P1138,39.44,Clothing,Completed,118.32,North,Low,U91006,Eva King,39.44,2025-07-05
P1139,44.36,Clothing,Pending,221.8,West,High,U98652,Hannah Walker,44.36,2025-10-10
P1140,376.78,Sports,Pending,1507.12,South,Medium,U71474,Grace Clark,376.78,2025-11-19
P1141,1438.87,Furniture,Refunded,4316.61,West,High,U89254,Eva Anderson,1438.87,2025-01-21
P1142,2634.94,Furniture,Completed,13174.7,North,Medium,U31012,Ivan Walker,2634.94,2025-09-05
P1143,224.36,Sports,Refunded,448.72,East,High,U61964,Quinn Clark,224.36,2025-04-13
P1144,781.08,Electronics,Cancelled,781.08,North,Low,U29142,Eva Smith,781.08,2025-05-27
P1145,2118.61,Furniture,Refunded,4237.22,West,Low,,Charlie Smith,2118.61,2025-05-07
P1146,83.26,Sports,Refunded,416.3,North,Medium,U25970,Bob Taylor,83.26,2025-07-21
P1147,315.18,Sports,Completed,315.18,West,Low,U92831,Quinn King,315.18,2025-04-23
P1148,65.34,Clothing,Cancelled,65.34,South,Low,U97080,Charlie Young,65.34,2025-06-03
P1149,83.89,Toys,Completed,419.45,West,Medium,,Mike Clark,83.89,2025-05-24
P1150,746.33,Electronics,Cancelled,746.33,South,Low,U23587,Steve Clark,746.33,2025-03-02
P1151,55.51,Groceries,Refunded,111.02,West,Low,U27675,Charlie Walker,55.51,2025-01-10
P1152,18.32,Clothing,Completed,36.64,East,Medium,U81176,Paula Anderson,18.32,2025-01-25
P1153,15.51,Books,Completed,46.53,East,Medium,U58237,Nina Lewis,15.51,2025-12-15
P1154,1083.21,Furniture,Refunded,2166.42,West,Medium,U78062,Ivan Johnson,1083.21,2025-12-14
P1155,889.68,Electronics,Cancelled,1779.36,East,High,U96628,Julia Anderson,889.68,2025-08-20
P1156,28.44,Books,Cancelled,113.76,West,High,U56210,Tina Lewis,28.44,2025-05-21
P1157,474.47,Sports,Refunded,474.47,East,Low,U99051,Frank Smith,474.47,2025-03-28
P1158,103.32,Toys,Completed,413.28,South,High,U94562,Laura Clark,103.32,2025-07-19
P1159,1229.93,Electronics,Cancelled,4919.72,East,Medium,U85225,Eva Young,1229.93,2025-06-13
P1160,65.66,Groceries,Completed,131.32,North,Low,U77861,Mike Young,65.66,2025-02-09
P1161,137.54,Sports,Pending,550.16,East,Low,U74382,Grace Johnson,137.54,2025-03-28
P1162,931.48,Electronics,Completed,3725.92,East,Low,U18511,Rachel Young,931.48,2025-05-10
P1163,87.18,Sports,Cancelled,174.36,South,High,U28202,Hannah Walker,87.18,2025-01-12
P1164,87.98,Toys,Pending,351.92,North,High,U72739,Quinn Lewis,87.98,2025-07-27
P1165,15.69,Toys,Completed,47.07,West,Medium,U55156,Eva Young,15.69,2025-11-19
P1166,155.88,Clothing,Refunded,311.76,North,High,U49862,Frank Brown,155.88,2025-06-23
P1167,75.74,Clothing,Cancelled,378.7,North,Medium,U82199,Ivan Brown,75.74,2025-11-10
P1168,82.35,Toys,Pending,411.75,South,High,U89316,Kevin King,82.35,2025-01-27
P1169,23.9,Sports,Cancelled,23.9,South,Low,U93753,Alice Walker,23.9,2025-11-18
P1170,64.91,Groceries,Refunded,194.73,South,Low,U69446,Charlie Smith,64.91,2025-03-15
P1171,1504.33,Furniture,Cancelled,3008.66,South,Medium,U51853,Laura Lewis,1504.33,2025-03-25
P1172,52.47,Groceries,Cancelled,52.47,South,Medium,U68929,Hannah Brown,52.47,2025-02-02
P1173,94.65,Groceries,Refunded,473.25,South,High,U85718,Kevin Taylor,94.65,2025-03-16
P1174,72.69,Toys,Refunded,218.07,North,High,U76249,Oscar Taylor,72.69,2025-04-19
P1175,6.77,Groceries,Refunded,20.31,West,Medium,U24089,Nina Brown,6.77,2025-05-24
P1176,76.86,Groceries,Completed,230.58,West,High,U35513,Laura Young,76.86,2025-05-03
P1177,1562.34,Furniture,Cancelled,7811.7,North,High,U61629,Laura Clark,1562.34,2025-09-12
P1178,80.69,Sports,Refunded,403.45,North,High,,Kevin Walker,80.69,2025-09-15
P1179,125.19,Clothing,Pending,625.95,East,Low,U61505,Tina Anderson,125.19,2025-10-11
P1180,125.1,Toys,Refunded,625.5,East,Medium,U58281,Kevin Johnson,125.1,2025-07-19
P1181,80.08,Groceries,Refunded,80.08,East,Low,U85821,Steve Taylor,80.08,2025-12-02
P1182,74.67,Toys,Refunded,373.35,South,Low,U85047,David Taylor,74.67,2025-01-15
P1183,43.04,Groceries,Pending,172.16,West,Low,U71814,Bob Brown,43.04,2025-09-07
P1184,52.13,Toys,Refunded,208.52,East,High,U79878,Kevin Young,52.13,2025-06-22
P1185,435.15,Sports,Refunded,1305.45,South,High,U49124,Hannah Anderson,435.15,2025-05-23
P1186,141.15,Clothing,Cancelled,564.6,West,Medium,U45842,Julia Johnson,141.15,2025-10-22
P1187,60.06,Toys,Cancelled,240.24,South,Medium,,Charlie Clark,60.06,2025-08-21
P1188,75.24,Groceries,Pending,150.48,East,Low,U27992,David King,75.24,2025-12-19
P1189,56.07,Clothing,Pending,280.35,South,High,U53292,Paula Johnson,56.07,2025-11-25
P1190,10.98,Clothing,Pending,54.9,West,Low,U72350,Paula Taylor,10.98,2025-05-11
P1191,65.3,Groceries,Pending,65.3,North,High,U33040,Bob Lewis,65.3,2025-08-06
P1192,57.92,Books,Completed,173.76,North,Medium,U24064,Kevin Anderson,57.92,2025-08-21
P1193,81.03,Toys,Refunded,162.06,East,High,U53343,Frank Walker,81.03,2025-11-09
P1194,15.24,Books,Cancelled,45.72,South,High,U93719,Mike Lewis,15.24,2025-09-11
P1195,831.62,Electronics,Pending,831.62,South,Medium,U42512,Alice Anderson,831.62,2025-07-08
P1196,2285.89,Furniture,Cancelled,6857.67,North,Medium,U40972,Bob Johnson,2285.89,2025-08-10
P1197,87.03,Clothing,Cancelled,435.15,North,Low,U48671,Laura King,87.03,2025-04-08
P1198,100.85,Clothing,Cancelled,403.4,West,Low,U71712,Rachel Taylor,100.85,2025-04-22
P1199,301.95,Sports,Refunded,301.95,East,High,U24707,Bob Young,301.95,2025-09-07
P1200,82.82,Toys,Cancelled,165.64,West,High,U86434,Paula Johnson,82.82,2025-09-15
P1201,37.26,Sports,Refunded,74.52,West,Low,U70604,Julia Smith,37.26,2025-07-09
P1202,11.48,Sports,Completed,22.96,North,Medium,U18357,Rachel Smith,11.48,2025-02-16
P1203,609.83,Electronics,Pending,1219.66,West,Medium,U60132,Oscar Lewis,609.83,2025-07-03
P1204,58.03,Books,Pending,290.15,East,High,U80419,Mike Young,58.03,2025-03-24
P1205,168.62,Clothing,Cancelled,168.62,West,Low,U65591,Rachel Lewis,168.62,2025-04-08
P1206,1103.86,Furniture,Pending,3311.58,North,High,U64950,Tina Smith,1103.86,2025-04-07
P1207,246.75,Electronics,Refunded,246.75,North,High,U62725,Oscar Taylor,246.75,2025-09-07
P1208,433.23,Sports,Pending,433.23,East,High,U85511,Kevin King,433.23,2025-10-25
P1209,50.01,Books,Cancelled,100.02,South,Low,U64206,Julia Anderson,50.01,2025-01-18
P1210,132.56,Toys,Refunded,265.12,West,High,U94320,Mike Young,132.56,2025-06-23
P1211,1283.95,Furniture,Refunded,3851.85,South,Low,U39536,Julia Brown,1283.95,2025-08-02
P1212,64.84,Toys,Pending,259.36,West,High,U53288,Charlie Walker,64.84,2025-06-03
P1213,110.06,Toys,Completed,220.12,East,Medium,U89026,Bob Johnson,110.06,2025-04-26
P1214,297.92,Sports,Pending,1489.6,West,High,U53642,Julia Smith,297.92,2025-04-07
P1215,11.45,Books,Pending,45.8,South,Medium,U82362,Kevin Anderson,11.45,2025-07-15
P1216,99.06,Toys,Cancelled,297.18,East,Low,U71080,David Walker,99.06,2025-06-07
P1217,32.67,Groceries,Pending,32.67,South,High,U86550,Steve Lewis,32.67,2025-05-05
P1218,72.67,Clothing,Pending,290.68,West,Low,U99764,Kevin Anderson,72.67,2025-08-24
P1219,45.68,Books,Pending,182.72,East,High,U81636,Paula Brown,45.68,2025-09-21
P1220,1071.69,Electronics,Completed,1071.69,North,Medium,U92667,Hannah Johnson,1071.69,2025-12-05
P1221,476.5,Electronics,Cancelled,1906.0,North,Low,U90808,Paula Walker,476.5,2025-01-01
P1222,84.99,Toys,Completed,84.99,East,Low,U12246,Quinn Lewis,84.99,2025-03-04
P1223,1072.55,Electronics,Pending,2145.1,East,Medium,U62022,Charlie Clark,1072.55,2025-07-15
P1224,40.27,Toys,Cancelled,80.54,North,Low,U95182,Bob Johnson,40.27,2025-07-13
P1225,1702.83,Furniture,Completed,1702.83,South,High,U66873,Kevin King,1702.83,2025-02-17
P1226,498.04,Electronics,Refunded,2490.2,East,High,U99709,Ivan Young,498.04,2025-10-22
P1227,399.74,Electronics,Completed,1199.22,South,Low,U62205,Charlie Anderson,399.74,2025-03-19
P1228,117.67,Clothing,Cancelled,470.68,West,Low,U20279,Quinn Clark,117.67,2025-01-04
P1229,773.22,Furniture,Cancelled,773.22,West,Medium,,Ivan Walker,773.22,2025-08-08
P1230,56.2,Groceries,Refunded,224.8,South,Low,U59816,Charlie King,56.2,2025-05-26
P1231,145.49,Clothing,Cancelled,145.49,South,Medium,U93086,Eva Lewis,145.49,2025-06-12
P1232,228.46,Electronics,Refunded,685.38,East,Medium,U21442,Frank Lewis,228.46,2025-08-18
P1233,79.3,Toys,Completed,79.3,North,Medium,U88240,Tina Clark,79.3,2025-07-01
P1234,42.55,Groceries,Pending,42.55,South,Low,U28198,Ivan Anderson,42.55,2025-05-16
P1235,22.02,Clothing,Cancelled,88.08,West,Medium,U20082,Laura Anderson,22.02,2025-04-24
P1236,32.27,Books,Pending,161.35,West,High,U10887,Mike Clark,32.27,2025-10-13
P1237,432.48,Sports,Cancelled,1729.92,West,Low,U27842,Julia Clark,432.48,2025-10-23
P1238,101.01,Clothing,Refunded,202.02,East,Medium,U92955,Paula King,101.01,2025-04-11
P1239,912.87,Furniture,Cancelled,3651.48,North,Low,U81516,Frank Young,912.87,2025-01-24
P1240,2834.63,Furniture,Refunded,5669.26,East,Low,U63627,Paula Brown,2834.63,2025-11-10
P1241,58.01,Clothing,Refunded,116.02,West,High,U88372,Paula King,58.01,2025-07-18
P1242,138.91,Toys,Completed,555.64,East,Low,U80373,Tina Johnson,138.91,2025-02-25
P1243,134.94,Clothing,Pending,404.82,North,Low,U98797,Mike Clark,134.94,2025-07-04
P1244,242.28,Electronics,Pending,484.56,West,Medium,U99070,Steve Young,242.28,2025-03-12
P1245,991.4,Electronics,Refunded,2974.2,North,High,U28569,Laura Anderson,991.4,2025-06-15
P1246,111.36,Sports,Cancelled,445.44,West,High,U69303,Kevin Johnson,111.36,2025-05-02
P1247,358.28,Sports,Cancelled,358.28,North,Low,U41970,Quinn Brown,358.28,2025-09-06
P1248,56.87,Groceries,Pending,227.48,West,Low,U93948,Nina Lewis,56.87,2025-01-24
P1249,133.05,Toys,Refunded,532.2,West,High,U36972,Ivan Johnson,133.05,2025-10-04
P1250,437.27,Sports,Cancelled,874.54,East,High,U44387,Paula Young,437.27,2025-11-11
P1251,61.35,Toys,Completed,245.4,East,Medium,U90918,Frank Anderson,61.35,2025-10-19
P1252,1360.61,Electronics,Completed,4081.83,South,Medium,U58929,Eva Young,1360.61,2025-07-14
P1253,24.99,Toys,Refunded,99.96,South,Medium,U94575,Frank Young,24.99,2025-03-16
P1254,15.75,Groceries,Refunded,47.25,North,Medium,U73518,Eva Taylor,15.75,2025-07-18
P1255,99.7,Toys,Refunded,398.8,West,Low,U74054,Frank Johnson,99.7,2025-10-01
P1256,382.92,Sports,Completed,1148.76,East,High,U32047,Oscar King,382.92,2025-12-25
P1257,252.7,Sports,Completed,1263.5,North,Medium,U58085,Rachel Smith,252.7,2025-12-15
P1258,36.69,Toys,Completed,146.76,South,Medium,U14224,Oscar Anderson,36.69,2025-06-28
P1259,52.62,Sports,Pending,52.62,South,Low,U55957,Tina Lewis,52.62,2025-03-20
P1260,159.12,Clothing,Completed,318.24,East,Low,U80617,Frank Clark,159.12,2025-12-10
P1261,58.13,Groceries,Completed,290.65,South,Medium,U46349,Eva Brown,58.13,2025-04-05
P1262,22.72,Books,Refunded,45.44,West,High,U45221,Nina Lewis,22.72,2025-08-03
P1263,48.7,Books,Refunded,48.7,East,Low,U58374,Oscar Walker,48.7,2025-06-19
P1264,1744.37,Electronics,Refunded,1744.37,East,High,U62129,Grace Lewis,1744.37,2025-04-16
P1265,33.64,Groceries,Cancelled,100.92,South,Low,U55054,Bob Smith,33.64,2025-02-21
P1266,419.98,Sports,Completed,419.98,South,Medium,U66072,Grace Brown,419.98,2025-11-10
P1267,176.14,Clothing,Completed,528.42,East,Medium,U97098,Frank Smith,176.14,2025-07-21
P1268,73.15,Groceries,Refunded,146.3,North,Low,U37973,Paula Johnson,73.15,2025-03-19
P1269,108.69,Clothing,Completed,434.76,North,Low,U25806,Nina Brown,108.69,2025-08-03
P1270,82.78,Clothing,Completed,82.78,East,Medium,U27973,Mike Brown,82.78,2025-11-22
P1271,23.0,Clothing,Completed,115.0,South,Medium,U37925,Eva Lewis,23.0,2025-10-22
P1272,2593.89,Furniture,Completed,2593.89,South,High,U60335,Laura Lewis,2593.89,2025-06-26
P1273,57.08,Clothing,Pending,57.08,East,Low,,Julia Taylor,57.08,2025-09-20
P1274,32.35,Toys,Cancelled,129.4,North,High,U24777,Hannah Walker,32.35,2025-11-20
P1275,1080.16,Electronics,Cancelled,1080.16,East,High,U84498,Nina Clark,1080.16,2025-09-22
P1276,154.92,Clothing,Completed,154.92,North,High,U15220,Bob Lewis,154.92,2025-09-10
P1277,44.19,Books,Refunded,176.76,West,High,U80471,Tina Brown,44.19,2025-05-03
P1278,9.74,Groceries,Pending,19.48,East,Medium,U95175,Charlie Anderson,9.74,2025-12-14
P1279,57.44,Books,Completed,114.88,South,High,U25202,Oscar King,57.44,2025-10-02
P1280,67.28,Groceries,Completed,134.56,North,Low,U11487,Frank Walker,67.28,2025-06-17
P1281,118.53,Toys,Pending,355.59,East,High,U45227,David Smith,118.53,2025-06-26
P1282,888.74,Furniture,Cancelled,888.74,North,Medium,U57202,Bob Walker,888.74,2025-10-06
P1283,17.42,Groceries,Completed,17.42,South,Low,U15772,Alice Taylor,17.42,2025-01-16
P1284,39.53,Groceries,Pending,79.06,North,Low,U95944,Nina Taylor,39.53,2025-06-08
